symbol,timestamp,open,high,low,close,volume,trade_count,vwap
SHIB/USD,2023-06-20 05:00:00+00:00,7.21e-06,0.003853895,6.81e-06,7.42e-06,50643178.00144653,44.0,7.2317e-06
SHIB/USD,2023-06-21 05:00:00+00:00,7.41e-06,0.003853775,7.21e-06,8.05e-06,25081255.985734157,27.0,7.4002e-06
SHIB/USD,2023-06-22 05:00:00+00:00,8.055e-06,9.135e-06,7.61e-06,7.92e-06,43698997.50947722,41.0,8.1179e-06
SHIB/USD,2023-06-23 05:00:00+00:00,7.925e-06,8.41e-06,7.705e-06,7.975e-06,36546634.70361806,39.0,8.0158e-06
SHIB/USD,2023-06-24 05:00:00+00:00,7.975e-06,8.98e-06,7.665e-06,7.94e-06,37988824.532659605,25.0,8.234e-06
SHIB/USD,2023-06-25 05:00:00+00:00,7.94e-06,8.915e-06,7.66e-06,7.73e-06,20191100.360645045,22.0,8.0375e-06
SHIB/USD,2023-06-26 05:00:00+00:00,7.725e-06,8.04e-06,7.38e-06,7.605e-06,38124788.37874001,40.0,7.709e-06
SHIB/USD,2023-06-27 05:00:00+00:00,7.61e-06,9e-06,7.455e-06,7.485e-06,32694128.359153386,31.0,7.7465e-06
SHIB/USD,2023-06-28 05:00:00+00:00,7.49e-06,8.848e-06,6.878e-06,7.28e-06,311234942.25071234,186.0,7.308e-06
SHIB/USD,2023-06-29 05:00:00+00:00,7.285e-06,8.002e-06,7.14e-06,7.515e-06,34569378.15569025,31.0,7.408e-06
SHIB/USD,2023-06-30 05:00:00+00:00,7.525e-06,8.81e-06,7.03e-06,7.57e-06,34049084.40310144,36.0,7.3972e-06
SHIB/USD,2023-07-01 05:00:00+00:00,7.57e-06,8.8e-06,7.46e-06,7.54e-06,16409616.331069857,19.0,7.662e-06
SHIB/USD,2023-07-02 05:00:00+00:00,7.53e-06,7.745e-06,7.415e-06,7.7e-06,9184757.084326226,12.0,7.597e-06
SHIB/USD,2023-07-03 05:00:00+00:00,7.7e-06,7.86e-06,7.6e-06,7.755e-06,11036154.791887915,17.0,7.7524e-06
SHIB/USD,2023-07-04 05:00:00+00:00,7.76e-06,8.885e-06,7.605e-06,7.715e-06,17888666.694236353,19.0,7.8106e-06
SHIB/USD,2023-07-05 05:00:00+00:00,7.715e-06,8.974e-06,6.737e-06,7.47e-06,187694857.38624895,108.0,7.8187e-06
SHIB/USD,2023-07-06 05:00:00+00:00,7.465e-06,8.78e-06,6.3835e-06,7.205e-06,311975713.4450618,181.0,7.2447e-06
SHIB/USD,2023-07-07 05:00:00+00:00,7.21e-06,7.47e-06,7.175e-06,7.3e-06,9818330.17595182,14.0,7.3604e-06
SHIB/USD,2023-07-08 05:00:00+00:00,7.29e-06,8.172e-06,7.27e-06,7.765e-06,6142190.572101382,11.0,7.5431e-06
SHIB/USD,2023-07-09 05:00:00+00:00,7.76e-06,7.85e-06,7.286e-06,7.625e-06,19854949.213491414,16.0,7.6276e-06
SHIB/USD,2023-07-10 05:00:00+00:00,7.62e-06,7.938e-06,6.757e-06,7.61e-06,46015554.60074507,36.0,7.5689e-06
SHIB/USD,2023-07-11 05:00:00+00:00,7.61e-06,8.002e-06,7.32e-06,7.54e-06,44154151.98448239,45.0,7.5278e-06
SHIB/USD,2023-07-12 05:00:00+00:00,7.53e-06,8.4105e-06,6.5165e-06,7.465e-06,2066505653.2669399,1051.0,7.5457e-06
SHIB/USD,2023-07-13 05:00:00+00:00,7.465e-06,9.163e-06,7.4e-06,7.955e-06,763286437.4679861,408.0,7.5691e-06
SHIB/USD,2023-07-14 05:00:00+00:00,7.955e-06,9.3625e-06,7.476e-06,8.035e-06,221666656.92591795,148.0,8.2161e-06
SHIB/USD,2023-07-15 05:00:00+00:00,8.035e-06,8.742e-06,7.837e-06,7.985e-06,61345762.77962161,46.0,8.1219e-06
SHIB/USD,2023-07-16 05:00:00+00:00,7.985e-06,8.22e-06,7.69e-06,7.985e-06,51348227.505228855,40.0,7.9606e-06
SHIB/USD,2023-07-17 05:00:00+00:00,7.99e-06,9.058e-06,7.6e-06,7.83e-06,696284560.2913607,372.0,8.0835e-06
SHIB/USD,2023-07-18 05:00:00+00:00,7.83e-06,8.865e-06,7.55e-06,7.795e-06,19101276.40126865,20.0,7.7348e-06
SHIB/USD,2023-07-19 05:00:00+00:00,7.805e-06,9.105e-06,7.5e-06,7.73e-06,64335622.55923031,55.0,7.761e-06
SHIB/USD,2023-07-20 05:00:00+00:00,7.73e-06,8.116e-06,7.58e-06,7.785e-06,30669608.47464036,39.0,7.8215e-06
SHIB/USD,2023-07-21 05:00:00+00:00,7.78e-06,8.915e-06,7.56e-06,7.865e-06,30732496.958459258,39.0,7.7922e-06
SHIB/USD,2023-07-22 05:00:00+00:00,7.865e-06,7.92e-06,7.69e-06,7.825e-06,7391900.641480137,16.0,7.8012e-06
SHIB/USD,2023-07-23 05:00:00+00:00,7.825e-06,7.94e-06,7.725e-06,7.795e-06,9660381.398201898,20.0,7.853e-06
SHIB/USD,2023-07-24 05:00:00+00:00,7.8e-06,8.025e-06,7.56e-06,7.755e-06,5641437.935717767,16.0,7.7647e-06
SHIB/USD,2023-07-25 05:00:00+00:00,7.755e-06,8.04e-06,7.59e-06,7.94e-06,38673843.34879317,50.0,7.8403e-06
SHIB/USD,2023-07-26 05:00:00+00:00,7.945e-06,9.079e-06,7.705e-06,7.89e-06,132570175.86065477,79.0,8.1075e-06
SHIB/USD,2023-07-27 05:00:00+00:00,7.89e-06,9.168e-06,7.419e-06,7.825e-06,903815507.3702474,490.0,8.2234e-06
SHIB/USD,2023-07-28 05:00:00+00:00,7.83e-06,9.3625e-06,7.152e-06,8.225e-06,613574829.0699373,340.0,8.5485e-06
SHIB/USD,2023-07-29 05:00:00+00:00,8.23e-06,9.12e-06,8.125e-06,8.64e-06,199042435.12921774,124.0,8.9204e-06
SHIB/USD,2023-07-30 05:00:00+00:00,8.635e-06,9.357e-06,7.207e-06,8.31e-06,110182645.86676852,78.0,8.3543e-06
SHIB/USD,2023-07-31 05:00:00+00:00,8.315e-06,8.78e-06,7.78e-06,8.245e-06,274949736.6587256,180.0,7.9598e-06
SHIB/USD,2023-08-01 05:00:00+00:00,8.245e-06,8.862e-06,7.814e-06,8.365e-06,179274076.10136896,125.0,8.5488e-06
SHIB/USD,2023-08-02 05:00:00+00:00,8.375e-06,9.31e-06,7.94e-06,8.23e-06,86656271.77324735,84.0,8.4246e-06
SHIB/USD,2023-08-03 05:00:00+00:00,8.23e-06,9.3415e-06,7.951e-06,8.365e-06,135330395.1154705,91.0,8.0523e-06
SHIB/USD,2023-08-04 05:00:00+00:00,8.355e-06,9.5935e-06,7.096e-06,9.015e-06,76708141.0278213,59.0,8.6099e-06
SHIB/USD,2023-08-05 05:00:00+00:00,9.015e-06,1.0636e-05,8.99e-06,9.59e-06,872371475.3409582,465.0,1.05398e-05
SHIB/USD,2023-08-06 05:00:00+00:00,9.585e-06,1.99025e-05,8.3945e-06,9.21e-06,2442865141.6450334,1239.0,9.1859e-06
SHIB/USD,2023-08-07 05:00:00+00:00,9.21e-06,1.033e-05,8.616e-06,9.04e-06,40278612.86079417,37.0,9.0495e-06
SHIB/USD,2023-08-08 05:00:00+00:00,9.04e-06,1.0002e-05,8.905e-06,9.55e-06,10735635.902913937,18.0,9.4964e-06
SHIB/USD,2023-08-09 05:00:00+00:00,9.55e-06,1.11825e-05,9.103e-06,9.81e-06,440257511.9468589,249.0,1.00382e-05
SHIB/USD,2023-08-10 05:00:00+00:00,9.81e-06,1.05015e-05,9.1885e-06,9.93e-06,32662204.983364575,34.0,9.6545e-06
SHIB/USD,2023-08-11 05:00:00+00:00,9.93e-06,1.1366e-05,9.68e-06,1.0795e-05,81337712.86052684,80.0,1.02395e-05
SHIB/USD,2023-08-12 05:00:00+00:00,1.08e-05,1.1718e-05,1.0001e-05,1.074e-05,133259493.20349814,71.0,1.10906e-05
SHIB/USD,2023-08-13 05:00:00+00:00,1.0745e-05,1.1011e-05,9.96e-06,1.021e-05,52338249.58191549,24.0,1.08497e-05
SHIB/USD,2023-08-14 05:00:00+00:00,1.021e-05,1.09495e-05,9.84e-06,1.026e-05,94893228.12174071,59.0,1.04909e-05
SHIB/USD,2023-08-15 05:00:00+00:00,1.0265e-05,1.13295e-05,9.43e-06,1.006e-05,90182327.26910064,69.0,1.03847e-05
SHIB/USD,2023-08-16 05:00:00+00:00,1.006e-05,1.006e-05,8.935e-06,9.245e-06,44596039.407843016,34.0,9.4749e-06
SHIB/USD,2023-08-17 05:00:00+00:00,9.245e-06,1.0002e-05,7.335e-06,8.1e-06,2161331473.7108164,1343.0,8.6085e-06
SHIB/USD,2023-08-18 05:00:00+00:00,8.105e-06,0.003852997,6.963e-06,8.54e-06,1483554616.3382354,772.0,7.9576e-06
SHIB/USD,2023-08-19 05:00:00+00:00,8.54e-06,8.62e-06,8.31e-06,8.43e-06,3133151.444229046,4.0,8.5683e-06
SHIB/USD,2023-08-20 05:00:00+00:00,8.43e-06,8.46e-06,8.145e-06,8.24e-06,3989416.1192846,4.0,8.3318e-06
SHIB/USD,2023-08-21 05:00:00+00:00,8.24e-06,0.003852997,7.775e-06,7.88e-06,18028970.573161818,14.0,8.14e-06
SHIB/USD,2023-08-22 05:00:00+00:00,7.88e-06,8.305e-06,7.62e-06,8.235e-06,255096497.02694538,188.0,8.0967e-06
SHIB/USD,2023-08-23 05:00:00+00:00,8.24e-06,0.003854373,8.11e-06,8.33e-06,32531810.12318495,23.0,8.4955e-06
SHIB/USD,2023-08-24 05:00:00+00:00,8.33e-06,8.694e-06,6.8775e-06,8.03e-06,70535918.12771602,43.0,8.2403e-06
SHIB/USD,2023-08-25 05:00:00+00:00,8.03e-06,8.24e-06,6.8395e-06,8.21e-06,16037361.743656473,14.0,7.9555e-06
SHIB/USD,2023-08-26 05:00:00+00:00,8.21e-06,8.27e-06,7.93e-06,8.12e-06,23858065.205523867,23.0,8.1379e-06
SHIB/USD,2023-08-27 05:00:00+00:00,8.12e-06,8.17e-06,7.9e-06,7.96e-06,0.0,0.0,0.0
SHIB/USD,2023-08-28 05:00:00+00:00,7.955e-06,8.379e-06,7.87e-06,8.16e-06,12024973.147153597,8.0,8.113e-06
SHIB/USD,2023-08-29 05:00:00+00:00,8.16e-06,0.003852997,8.035e-06,8.285e-06,2700000.0,4.0,8.1299e-06
SHIB/USD,2023-08-30 05:00:00+00:00,8.285e-06,8.29e-06,7.2135e-06,8.15e-06,0.0,0.0,0.0
SHIB/USD,2023-08-31 05:00:00+00:00,8.145e-06,0.003854158,6.759e-06,7.99e-06,389972939.6390916,266.0,7.9776e-06
SHIB/USD,2023-09-01 05:00:00+00:00,7.99e-06,0.003854184,7.73e-06,7.92e-06,69599133.16524468,45.0,8.1447e-06
SHIB/USD,2023-09-02 05:00:00+00:00,7.92e-06,7.94e-06,7.77e-06,7.83e-06,0.0,0.0,0.0
SHIB/USD,2023-09-03 05:00:00+00:00,7.84e-06,7.87e-06,7.64e-06,7.75e-06,0.0,0.0,0.0
SHIB/USD,2023-09-04 05:00:00+00:00,7.75e-06,7.77e-06,7.39e-06,7.5e-06,0.0,0.0,0.0
SHIB/USD,2023-09-05 05:00:00+00:00,7.5e-06,7.71e-06,7.47e-06,7.62e-06,900000.0,2.0,7.6726e-06
